make,model,bodyType,numberOfTrimlines,image,referenceVehicle,offerings,states,hasUsed,hasWltp
Peugeot,208,Berline à hayon,1,{'options': {'isStretched': False}},"{'duration': 48, 'mileage': 15000, 'originalPrice': 229, 'originalPriceIncVat': 229, 'discountedPrice': 229, 'discountedPriceIncVat': 229, 'defaultWithVat': True, 'isCommercial': False, 'currency': 'EUR', 'stock': 0, 'offerings': ['Meilleures offres'], 'image': {'options': {'isStretched': False}}, 'source': 'Tentacle', 'colors': [{'title': 'Jaune Agueda', 'carColorCombinationId': 'pspc0076', 'hexCode': 'b6ce65', 'baseColor': 'vert'}, {'title': 'Noir Perla Nera', 'carColorCombinationId': 'pspc0004', 'hexCode': '545453', 'baseColor': 'noir'}, {'title': 'Blanc Banquise', 'carColorCombinationId': 'pspc0041', 'hexCode': 'f7f7f7', 'baseColor': 'gris'}, {'title': 'Bleu Vertigo', 'carColorCombinationId': 'pspc0188', 'hexCode': '648bbf', 'baseColor': 'bleu'}, {'title': 'Rouge Elixir', 'carColorCombinationId': 'pspc0038', 'hexCode': 'ed645d', 'baseColor': 'rouge'}, {'title': 'Gris Selenium', 'carColorCombinationId': 'pspc0248', 'hexCode': 'a8acb4', 'baseColor': 'gris'}], 'year': 0, 'carReservationEnabled': False, 'numberOfDoors': 5, 'energyLabelLocal': 'B', 'fuelTypeLocal': 'Essence', 'fuelTypeOriginal': 'Petrol', 'transmissionType': 'Manuelle', 'transmissionTypeOriginal': 'Manual', 'drivenMileage': 0, 'bodyType': 'Berline à hayon', 'bodyTypeOriginal': 'Hatchback', 'ranking': 1, 'videos': [], 'imaginKey': '?make=peugeot&modelFamily=208&modelRange=208&modelVariant=ha&modelYear=2024&powerTrain=electric&transmission=0&bodySize=5&trim=active', 'totalLeasePriceExcVat': 13992, 'totalLeasePriceIncVat': 13992, 'isUsed': False, 'vehicleType': 'PreConfigured', 'power': '100.0', 'state': 'New', 'vehicleSource': 'Default', 'co2': 118, 'isRemarketing': False, 'id': '162011', 'make': 'Peugeot', 'model': '208', 'trimline': '1.2 Puretech 100ch Allure', 'isConfigurable': False, 'segments': ['Business'], 'isCategory': False, 'categoryVehicleImages': []}","[{'offering': 'Meilleures offres', 'count': 1}]","[{'state': 'New', 'count': 1}]",False,True
Peugeot,2008,SUV,1,{'options': {'isStretched': False}},"{'duration': 48, 'mileage': 15000, 'originalPrice': 319, 'originalPriceIncVat': 319, 'discountedPrice': 319, 'discountedPriceIncVat': 319, 'defaultWithVat': True, 'isCommercial': False, 'currency': 'EUR', 'stock': 0, 'offerings': ['Meilleures offres'], 'image': {'options': {'isStretched': False}}, 'source': 'Tentacle', 'colors': [{'title': 'Gris Selenium', 'carColorCombinationId': 'pspc0248', 'hexCode': 'a8acb4', 'baseColor': 'gris'}, {'title': 'Noir Perla Nera', 'carColorCombinationId': 'pspc0004', 'hexCode': '545453', 'baseColor': 'noir'}, {'title': 'Gris Artense', 'carColorCombinationId': 'pspc0196', 'hexCode': 'd6d7db', 'baseColor': 'argent'}, {'title': 'Blanc Okénite', 'carColorCombinationId': 'pspc0100', 'hexCode': 'f7f7f7', 'baseColor': 'blanc'}, {'title': 'Rouge Elixir', 'carColorCombinationId': 'pspc0091', 'hexCode': 'e0666e', 'baseColor': 'rouge'}, {'title': 'Bleu Vertigo', 'carColorCombinationId': 'pspc0188', 'hexCode': '648bbf', 'baseColor': 'bleu'}], 'year': 0, 'carReservationEnabled': False, 'numberOfDoors': 5, 'energyLabelLocal': 'B', 'fuelTypeLocal': 'Essence', 'fuelTypeOriginal': 'Petrol', 'transmissionType': 'Automatique', 'transmissionTypeOriginal': 'Automatic', 'drivenMileage': 0, 'bodyType': 'SUV', 'bodyTypeOriginal': 'SUV', 'ranking': 2, 'videos': [], 'imaginKey': '?make=peugeot&modelFamily=2008&modelRange=2008&modelVariant=od&modelYear=2024&powerTrain=electric&transmission=0&bodySize=5&trim=active', 'totalLeasePriceExcVat': 18312, 'totalLeasePriceIncVat': 18312, 'isUsed': False, 'vehicleType': 'PreConfigured', 'power': '136.0', 'state': 'New', 'vehicleSource': 'Default', 'co2': 110, 'isRemarketing': False, 'id': '162076', 'make': 'Peugeot', 'model': '2008', 'trimline': '1.2 Hybrid 136ch Allure e-DCS6', 'isConfigurable': False, 'segments': ['Business'], 'isCategory': False, 'categoryVehicleImages': []}","[{'offering': 'Meilleures offres', 'count': 1}]","[{'state': 'New', 'count': 1}]",False,True
Peugeot,308,Berline à hayon,1,{'options': {'isStretched': False}},"{'duration': 48, 'mileage': 15000, 'originalPrice': 319, 'originalPriceIncVat': 319, 'discountedPrice': 319, 'discountedPriceIncVat': 319, 'defaultWithVat': True, 'isCommercial': False, 'currency': 'EUR', 'stock': 0, 'offerings': ['Meilleures offres'], 'image': {'options': {'isStretched': False}}, 'source': 'Tentacle', 'colors': [{'title': 'Noir Perla Nera', 'carColorCombinationId': 'pspc0004', 'hexCode': '545453', 'baseColor': 'noir'}, {'title': 'Bleu obsession', 'carColorCombinationId': 'pspc0232', 'hexCode': '6198ba', 'baseColor': 'bleu'}, {'title': 'Blanc Okénite', 'carColorCombinationId': 'pspc0101', 'hexCode': 'f7f7f7', 'baseColor': 'blanc'}, {'title': 'Gris Selenium', 'carColorCombinationId': 'pspc0248', 'hexCode': 'a8acb4', 'baseColor': 'gris'}, {'title': 'Rouge Elixir', 'carColorCombinationId': 'pspc0091sspc0004', 'hexCode': 'e0666e', 'baseColor': 'rouge'}], 'year': 0, 'carReservationEnabled': False, 'numberOfDoors': 5, 'energyLabelLocal': 'B', 'fuelTypeLocal': 'Essence', 'fuelTypeOriginal': 'Petrol', 'transmissionType': 'Automatique', 'transmissionTypeOriginal': 'Automatic', 'drivenMileage': 0, 'bodyType': 'Berline à hayon', 'bodyTypeOriginal': 'Hatchback', 'ranking': 3, 'videos': [], 'imaginKey': '?make=peugeot&modelFamily=308&modelRange=308&modelVariant=ha&modelYear=2023&powerTrain=electric&transmission=0&bodySize=5&trim=allure', 'totalLeasePriceExcVat': 18312, 'totalLeasePriceIncVat': 18312, 'isUsed': False, 'vehicleType': 'PreConfigured', 'power': '136.0', 'state': 'New', 'vehicleSource': 'Default', 'co2': 106, 'isRemarketing': False, 'id': '161387', 'make': 'Peugeot', 'model': '308', 'trimline': '1.2 Hybrid 136ch Allure e-DCS6', 'isConfigurable': False, 'segments': ['Business'], 'isCategory': False, 'categoryVehicleImages': []}","[{'offering': 'Meilleures offres', 'count': 1}]","[{'state': 'New', 'count': 1}]",False,True
Nissan,Juke,SUV,1,{'options': {'isStretched': False}},"{'duration': 48, 'mileage': 15000, 'originalPrice': 329, 'originalPriceIncVat': 329, 'discountedPrice': 329, 'discountedPriceIncVat': 329, 'defaultWithVat': True, 'isCommercial': False, 'currency': 'EUR', 'stock': 0, 'offerings': ['Meilleures offres'], 'image': {'options': {'isStretched': False}}, 'source': 'Tentacle', 'colors': [{'title': 'Noir Kuro', 'carColorCombinationId': 'pspc0004', 'hexCode': '545453', 'baseColor': 'noir'}, {'title': 'Jaune Tonic', 'carColorCombinationId': 'pspc0220', 'hexCode': 'e3d374', 'baseColor': 'jaune'}, {'title': 'Gris Perle', 'carColorCombinationId': 'pspc0000', 'hexCode': 'e3e1dc', 'baseColor': 'beige'}, {'title': 'Gris Squale', 'carColorCombinationId': 'pspc0244', 'hexCode': '6b6c6a', 'baseColor': 'noir'}, {'title': 'Rouge Fugi', 'carColorCombinationId': 'pspc0213sspc0320', 'hexCode': 'd7745b', 'baseColor': 'orange'}, {'title': 'Blanc Nacré', 'carColorCombinationId': 'pspc0100sspc0041', 'hexCode': 'f7f7f7', 'baseColor': 'blanc'}], 'year': 0, 'carReservationEnabled': False, 'numberOfDoors': 5, 'energyLabelLocal': 'B', 'fuelTypeLocal': 'Hybride Essence', 'fuelTypeOriginal': 'HybridPetrol', 'transmissionType': 'Automatique', 'transmissionTypeOriginal': 'Automatic', 'drivenMileage': 0, 'bodyType': 'SUV', 'bodyTypeOriginal': 'SUV', 'engineDisplacement': 1598, 'ranking': 4, 'videos': [], 'imaginKey': '?make=nissan&modelFamily=juke&modelRange=juke&modelVariant=od&modelYear=2022&powerTrain=hybrid&transmission=0&bodySize=5&trim=acenta', 'totalLeasePriceExcVat': 18792, 'totalLeasePriceIncVat': 18792, 'isUsed': False, 'vehicleType': 'PreConfigured', 'motorPower': '143.00', 'state': 'New', 'vehicleSource': 'Default', 'co2': 107, 'isRemarketing': False, 'id': '159436', 'make': 'Nissan', 'model': 'Juke', 'trimline': 'Business Edition Hybrid 143 HEV', 'isConfigurable': False, 'segments': ['Business'], 'isCategory': False, 'categoryVehicleImages': []}","[{'offering': 'Meilleures offres', 'count': 1}]","[{'state': 'New', 'count': 1}]",False,True
Nissan,Qashqai,SUV,1,{'options': {'isStretched': False}},"{'duration': 48, 'mileage': 15000, 'originalPrice': 349, 'originalPriceIncVat': 349, 'discountedPrice': 349, 'discountedPriceIncVat': 349, 'defaultWithVat': True, 'isCommercial': False, 'currency': 'EUR', 'stock': 0, 'offerings': ['Meilleures offres'], 'image': {'options': {'isStretched': False}}, 'source': 'Tentacle', 'colors': [{'title': 'Rouge Fusion', 'carColorCombinationId': 'pspc0058', 'hexCode': 'e8695c', 'baseColor': 'rouge'}, {'title': 'Gris Squale', 'carColorCombinationId': 'pspc0301sspc0004', 'hexCode': '92928d', 'baseColor': 'gris'}, {'title': 'Blanc Nacré', 'carColorCombinationId': 'pspc0100sspc0041', 'hexCode': 'f7f7f7', 'baseColor': 'blanc'}, {'title': 'Bleu Magnetic', 'carColorCombinationId': 'pspc0047sspc0004', 'hexCode': '7fa3da', 'baseColor': 'bleu'}, {'title': 'Vert Cayuga', 'carColorCombinationId': 'pspc0267sspc0004', 'hexCode': '4d6b76', 'baseColor': 'bleu'}, {'title': 'Noir Kuro', 'carColorCombinationId': 'pspc0004', 'hexCode': '545453', 'baseColor': 'noir'}], 'year': 0, 'carReservationEnabled': False, 'numberOfDoors': 5, 'energyLabelLocal': 'B', 'fuelTypeLocal': 'Hybride Essence', 'fuelTypeOriginal': 'HybridPetrol', 'transmissionType': 'Automatique', 'transmissionTypeOriginal': 'Automatic', 'drivenMileage': 0, 'bodyType': 'SUV', 'bodyTypeOriginal': 'SUV', 'engineDisplacement': 1497, 'ranking': 5, 'videos': [], 'imaginKey': '?make=nissan&modelFamily=qashqai&modelRange=qashqai&modelVariant=od&modelYear=2025&powerTrain=petrol&transmission=0&bodySize=5&trim=eu', 'totalLeasePriceExcVat': 19752, 'totalLeasePriceIncVat': 19752, 'isUsed': False, 'vehicleType': 'PreConfigured', 'motorPower': '190.00', 'state': 'New', 'vehicleSource': 'Default', 'co2': 116, 'isRemarketing': False, 'id': '168925', 'make': 'Nissan', 'model': 'Qashqai', 'trimline': 'e-POWER 190ch Acenta', 'isConfigurable': False, 'segments': ['Business'], 'isCategory': False, 'categoryVehicleImages': []}","[{'offering': 'Meilleures offres', 'count': 1}]","[{'state': 'New', 'count': 1}]",False,True
Peugeot,3008,SUV,1,{'options': {'isStretched': False}},"{'duration': 48, 'mileage': 15000, 'originalPrice': 359, 'originalPriceIncVat': 359, 'discountedPrice': 359, 'discountedPriceIncVat': 359, 'defaultWithVat': True, 'isCommercial': False, 'currency': 'EUR', 'stock': 0, 'offerings': ['Meilleures offres'], 'image': {'options': {'isStretched': False}}, 'source': 'Tentacle', 'colors': [{'title': 'Bleu Ingaro', 'carColorCombinationId': 'pspc0066', 'hexCode': '8b9ebd', 'baseColor': 'noir'}, {'title': 'Gris Artense', 'carColorCombinationId': 'pspc0196', 'hexCode': 'd6d7db', 'baseColor': 'argent'}, {'title': 'Noir Perla Nera', 'carColorCombinationId': 'pspc0004', 'hexCode': '545453', 'baseColor': 'bleu'}, {'title': 'Blanc Okénite', 'carColorCombinationId': 'pspc0041', 'hexCode': 'f7f7f7', 'baseColor': 'gris'}, {'title': 'Bleu Obsession', 'carColorCombinationId': 'pspc0232', 'hexCode': '6198ba', 'baseColor': 'bleu'}, {'title': 'Gris Titane', 'carColorCombinationId': 'pspc0027', 'hexCode': 'a0a3ad', 'baseColor': 'bleu'}], 'year': 0, 'carReservationEnabled': False, 'numberOfDoors': 5, 'energyLabelLocal': 'C', 'fuelTypeLocal': 'Essence', 'fuelTypeOriginal': 'Petrol', 'transmissionType': 'Automatique', 'transmissionTypeOriginal': 'Automatic', 'drivenMileage': 0, 'bodyType': 'SUV', 'bodyTypeOriginal': 'SUV', 'ranking': 6, 'videos': [], 'imaginKey': '?make=peugeot&modelFamily=3008&modelRange=3008&modelVariant=od&modelYear=2024&powerTrain=electric&transmission=0&bodySize=5&trim=eu', 'totalLeasePriceExcVat': 20232, 'totalLeasePriceIncVat': 20232, 'isUsed': False, 'vehicleType': 'PreConfigured', 'power': '136.0', 'state': 'New', 'vehicleSource': 'Cloned', 'co2': 123, 'isRemarketing': False, 'id': '162078', 'make': 'Peugeot', 'model': '3008', 'trimline': '1.2 Hybrid 136ch GT e-DCS6', 'isConfigurable': False, 'segments': ['Business'], 'isCategory': False, 'categoryVehicleImages': []}","[{'offering': 'Meilleures offres', 'count': 1}]","[{'state': 'New', 'count': 1}]",False,True
Nissan,X-Trail,SUV,1,{'options': {'isStretched': False}},"{'duration': 48, 'mileage': 15000, 'originalPrice': 359, 'originalPriceIncVat': 359, 'discountedPrice': 359, 'discountedPriceIncVat': 359, 'defaultWithVat': True, 'isCommercial': False, 'currency': 'EUR', 'stock': 0, 'offerings': ['Meilleures offres'], 'image': {'options': {'isStretched': False}}, 'source': 'Tentacle', 'colors': [{'title': 'Noir Intense', 'carColorCombinationId': 'pspc0004', 'hexCode': '545453', 'baseColor': 'noir'}, {'title': 'Gris Squale', 'carColorCombinationId': 'pspc0120', 'hexCode': '9e9c99', 'baseColor': 'gris'}, {'title': 'Gris Argile', 'carColorCombinationId': 'pspc0173', 'hexCode': 'd5d6df', 'baseColor': 'argent'}, {'title': 'Rouge Fusion', 'carColorCombinationId': 'pspc0058', 'hexCode': 'e8695c', 'baseColor': 'rouge'}, {'title': 'Blanc Lunaire', 'carColorCombinationId': 'pspc0061sspc0004', 'hexCode': 'f4f5f7', 'baseColor': 'blanc'}], 'year': 0, 'carReservationEnabled': False, 'numberOfDoors': 5, 'energyLabelLocal': 'C', 'fuelTypeLocal': 'Hybride Essence', 'fuelTypeOriginal': 'HybridPetrol', 'transmissionType': 'Automatique', 'transmissionTypeOriginal': 'Automatic', 'drivenMileage': 0, 'bodyType': 'SUV', 'bodyTypeOriginal': 'SUV', 'engineDisplacement': 1497, 'ranking': 7, 'videos': [], 'imaginKey': '?make=nissan&modelFamily=x-trail&modelRange=x-trail&modelVariant=od&modelYear=2022&powerTrain=hybrid&transmission=0&bodySize=5&trim=n-connecta', 'totalLeasePriceExcVat': 20232, 'totalLeasePriceIncVat': 20232, 'isUsed': False, 'vehicleType': 'PreConfigured', 'motorPower': '204.00', 'state': 'New', 'vehicleSource': 'Default', 'co2': 130, 'isRemarketing': False, 'id': '160194', 'make': 'Nissan', 'model': 'X-Trail', 'trimline': 'e-Power 204ch Acenta', 'isConfigurable': False, 'segments': ['Business'], 'isCategory': False, 'categoryVehicleImages': []}","[{'offering': 'Meilleures offres', 'count': 1}]","[{'state': 'New', 'count': 1}]",False,True
Suzuki,Swift,Berline à hayon,1,{'options': {'isStretched': False}},"{'duration': 48, 'mileage': 15000, 'originalPrice': 199, 'originalPriceIncVat': 199, 'discountedPrice': 199, 'discountedPriceIncVat': 199, 'defaultWithVat': True, 'isCommercial': False, 'currency': 'EUR', 'stock': 0, 'offerings': ['Meilleures offres'], 'image': {'options': {'isStretched': False}}, 'source': 'Tentacle', 'colors': [{'title': 'burning red pearl', 'carColorCombinationId': 'pspc0091sspc0091', 'hexCode': 'e0666e', 'baseColor': 'rouge'}, {'title': 'frontier blue pearl metallic', 'carColorCombinationId': 'pspc0047sspc0004', 'hexCode': '7fa3da', 'baseColor': 'bleu'}, {'title': 'metallicplus pluscoolplusyellow', 'carColorCombinationId': 'pspc0046', 'hexCode': 'dadf95', 'baseColor': 'vert'}, {'title': 'metallic premium silver', 'carColorCombinationId': 'pspc0078', 'hexCode': 'b0b3b7', 'baseColor': 'gris'}], 'year': 0, 'carReservationEnabled': False, 'numberOfDoors': 5, 'energyLabelLocal': 'A', 'fuelTypeLocal': 'MildHybrid', 'fuelTypeOriginal': 'MildHybrid', 'transmissionType': 'Manuelle', 'transmissionTypeOriginal': 'Manual', 'drivenMileage': 0, 'bodyType': 'Berline à hayon', 'bodyTypeOriginal': 'Hatchback', 'videos': [], 'imaginKey': '?make=suzuki&modelFamily=swift&modelRange=swift&modelVariant=ha&modelYear=2024&powerTrain=hybrid&transmission=0&bodySize=5&trim=eu', 'totalLeasePriceExcVat': 12552, 'totalLeasePriceIncVat': 12552, 'isUsed': False, 'vehicleType': 'PreConfigured', 'power': '83.0', 'state': 'New', 'vehicleSource': 'Default', 'co2': 99, 'isRemarketing': False, 'id': '161397', 'make': 'Suzuki', 'model': 'Swift', 'trimline': '1.2 Hybrid 83ch Privilège', 'isConfigurable': False, 'segments': ['Business'], 'isCategory': False, 'categoryVehicleImages': []}","[{'offering': 'Meilleures offres', 'count': 1}]","[{'state': 'New', 'count': 1}]",False,True
Renault,Clio,Berline à hayon,2,{'options': {'isStretched': False}},"{'duration': 48, 'mileage': 15000, 'originalPrice': 219, 'originalPriceIncVat': 219, 'discountedPrice': 219, 'discountedPriceIncVat': 219, 'defaultWithVat': False, 'isCommercial': True, 'currency': 'EUR', 'stock': 0, 'offerings': ['Offres spéciales VU'], 'image': {'options': {'isStretched': False}}, 'source': 'Tentacle', 'colors': [{'title': 'Blanc Glacier', 'carColorCombinationId': 'pspc0099sspc0096', 'hexCode': 'f7f6f6', 'baseColor': 'argent'}], 'year': 0, 'carReservationEnabled': False, 'numberOfDoors': 5, 'energyLabelLocal': 'B', 'fuelTypeLocal': 'Essence', 'fuelTypeOriginal': 'Petrol', 'transmissionType': 'Manuelle', 'transmissionTypeOriginal': 'Manual', 'drivenMileage': 0, 'bodyType': 'Berline à hayon', 'bodyTypeOriginal': 'Hatchback', 'videos': [], 'totalLeasePriceExcVat': 13512, 'totalLeasePriceIncVat': 13512, 'isUsed': False, 'vehicleType': 'Configurable', 'power': '90.0', 'state': 'New', 'vehicleSource': 'Default', 'co2': 118, 'isRemarketing': False, 'id': '163287', 'make': 'Renault', 'model': 'Clio', 'trimline': '1.0 TCe 90ch Evolution Réversible', 'isConfigurable': True, 'segments': ['Business'], 'isCategory': False, 'categoryVehicleImages': []}","[{'offering': 'Meilleures offres', 'count': 1}, {'offering': 'Offres spéciales VU', 'count': 1}]","[{'state': 'New', 'count': 2}]",False,True
Toyota,Proace City,Fourgon,1,{'options': {'isStretched': False}},"{'duration': 48, 'mileage': 15000, 'originalPrice': 219, 'originalPriceIncVat': 219, 'discountedPrice': 219, 'discountedPriceIncVat': 219, 'defaultWithVat': False, 'isCommercial': True, 'currency': 'EUR', 'stock': 0, 'offerings': ['Offres spéciales VU'], 'image': {'options': {'isStretched': False}}, 'source': 'Tentacle', 'colors': [{'title': 'Blanc', 'carColorCombinationId': 'pspc0061', 'hexCode': 'f4f5f7', 'baseColor': 'blanc'}, {'title': 'Gris', 'carColorCombinationId': 'pspc0042sspc0004', 'hexCode': 'f7f7f7', 'baseColor': 'argent'}], 'year': 0, 'carReservationEnabled': False, 'numberOfDoors': 5, 'energyLabelLocal': 'D', 'fuelTypeLocal': 'Essence', 'fuelTypeOriginal': 'Petrol', 'transmissionType': 'Manuelle', 'transmissionTypeOriginal': 'Manual', 'drivenMileage': 0, 'bodyType': 'Fourgon', 'bodyTypeOriginal': 'Van', 'videos': [], 'totalLeasePriceExcVat': 13512, 'totalLeasePriceIncVat': 13512, 'isUsed': False, 'vehicleType': 'Configurable', 'power': '110.0', 'state': 'New', 'vehicleSource': 'Default', 'co2': 194, 'isRemarketing': False, 'id': '163581', 'make': 'Toyota', 'model': 'Proace City', 'trimline': 'Medium 110 VVT-i Start MC24', 'isConfigurable': True, 'segments': ['Business'], 'isCategory': False, 'categoryVehicleImages': []}","[{'offering': 'Offres spéciales VU', 'count': 1}]","[{'state': 'New', 'count': 1}]",False,True
